xloc,vavg
-8.000000,0.000000
-7.968000,0.000000
-7.936000,0.000000
-7.904000,0.000000
-7.872000,0.000000
-7.840000,0.000000
-7.808000,0.000000
-7.776000,0.000000
-7.743000,0.000000
-7.711000,0.000000
-7.679000,0.000000
-7.647000,0.000021
-7.615000,0.000194
-7.583000,0.000521
-7.551000,0.000750
-7.519000,0.001283
-7.487000,0.002097
-7.455000,0.002425
-7.423000,0.002469
-7.391000,0.002531
-7.359000,0.002667
-7.327000,0.003044
-7.295000,0.003481
-7.263000,0.003669
-7.230000,0.003625
-7.198000,0.003234
-7.166000,0.002367
-7.134000,0.001988
-7.102000,0.002685
-7.070000,0.003485
-7.038000,0.003882
-7.006000,0.004039
-6.974000,0.004005
-6.942000,0.003846
-6.910000,0.003604
-6.878000,0.003313
-6.846000,0.002995
-6.814000,0.002684
-6.782000,0.002398
-6.749000,0.002225
-6.717000,0.002287
-6.685000,0.002472
-6.653000,0.002492
-6.621000,0.002366
-6.589000,0.002249
-6.557000,0.002129
-6.525000,0.002000
-6.493000,0.001881
-6.461000,0.001764
-6.429000,0.001643
-6.397000,0.001516
-6.365000,0.001384
-6.333000,0.001263
-6.301000,0.001160
-6.269000,0.001061
-6.236000,0.000934
-6.204000,0.000777
-6.172000,0.000587
-6.140000,0.000376
-6.108000,0.000164
-6.076000,-0.000041
-6.044000,-0.000244
-6.012000,-0.000457
-5.980000,-0.000686
-5.948000,-0.000926
-5.916000,-0.001168
-5.884000,-0.001407
-5.852000,-0.001631
-5.820000,-0.001844
-5.788000,-0.002047
-5.756000,-0.002237
-5.723000,-0.002414
-5.691000,-0.002577
-5.659000,-0.002726
-5.627000,-0.002854
-5.595000,-0.002956
-5.563000,-0.003029
-5.531000,-0.003070
-5.499000,-0.003076
-5.467000,-0.003043
-5.435000,-0.002971
-5.403000,-0.002859
-5.371000,-0.002706
-5.339000,-0.002519
-5.307000,-0.002307
-5.275000,-0.002076
-5.242000,-0.001829
-5.210000,-0.001592
-5.178000,-0.001375
-5.146000,-0.001187
-5.114000,-0.001024
-5.082000,-0.000888
-5.050000,-0.000778
-5.018000,-0.000694
-4.986000,-0.000641
-4.954000,-0.000617
-4.922000,-0.000631
-4.890000,-0.000684
-4.858000,-0.000771
-4.826000,-0.000890
-4.794000,-0.001043
-4.762000,-0.001230
-4.729000,-0.001459
-4.697000,-0.001713
