xloc,vavg
-4.000000,-0.018867
-3.984000,-0.018786
-3.968000,-0.018854
-3.952000,-0.018755
-3.936000,-0.018818
-3.920000,-0.018732
-3.904000,-0.018797
-3.888000,-0.018702
-3.872000,-0.018729
-3.856000,-0.018667
-3.840000,-0.018671
-3.824000,-0.018631
-3.808000,-0.018622
-3.792000,-0.018665
-3.776000,-0.018674
-3.760000,-0.018796
-3.743000,-0.018855
-3.727000,-0.019096
-3.711000,-0.019202
-3.695000,-0.019517
-3.679000,-0.019699
-3.663000,-0.020073
-3.647000,-0.020322
-3.631000,-0.020711
-3.615000,-0.021014
-3.599000,-0.021362
-3.583000,-0.021666
-3.567000,-0.021918
-3.551000,-0.022187
-3.535000,-0.022339
-3.519000,-0.022585
-3.503000,-0.022696
-3.487000,-0.022938
-3.471000,-0.023075
-3.455000,-0.023295
-3.439000,-0.023381
-3.423000,-0.024077
-3.407000,-0.026363
-3.391000,-0.030809
-3.375000,-0.036112
-3.359000,-0.039672
-3.343000,-0.041701
-3.327000,-0.042585
-3.311000,-0.043783
-3.295000,-0.044803
-3.279000,-0.046228
-3.263000,-0.047402
-3.246000,-0.048780
-3.230000,-0.049632
-3.214000,-0.050609
-3.198000,-0.052759
-3.182000,-0.056675
-3.166000,-0.061548
-3.150000,-0.064758
-3.134000,-0.067098
-3.118000,-0.068866
-3.102000,-0.072087
-3.086000,-0.075372
-3.070000,-0.078367
-3.054000,-0.079694
-3.038000,-0.080455
-3.022000,-0.080867
-3.006000,-0.081108
-2.990000,-0.081589
-2.974000,-0.081812
-2.958000,-0.082822
-2.942000,-0.083895
-2.926000,-0.086450
-2.910000,-0.089016
-2.894000,-0.092017
-2.878000,-0.093528
-2.862000,-0.094464
-2.846000,-0.094380
-2.830000,-0.094194
-2.814000,-0.094026
-2.798000,-0.093673
-2.782000,-0.093783
-2.766000,-0.093326
-2.749000,-0.093481
-2.733000,-0.092930
-2.717000,-0.093115
-2.701000,-0.092558
-2.685000,-0.092532
-2.669000,-0.092057
-2.653000,-0.091799
-2.637000,-0.091393
-2.621000,-0.091656
-2.605000,-0.094027
-2.589000,-0.098137
-2.573000,-0.103263
-2.557000,-0.105713
-2.541000,-0.107790
-2.525000,-0.110088
-2.509000,-0.115428
-2.493000,-0.120842
-2.477000,-0.125550
-2.461000,-0.127428
-2.445000,-0.127847
-2.429000,-0.127629
-2.413000,-0.126804
-2.397000,-0.126711
-2.381000,-0.125852
-2.365000,-0.126055
-2.349000,-0.125184
-2.333000,-0.125333
-2.317000,-0.124625
-2.301000,-0.124619
-2.285000,-0.124180
-2.269000,-0.123926
-2.253000,-0.123810
-2.236000,-0.123253
-2.220000,-0.123489
-2.204000,-0.122768
-2.188000,-0.123102
-2.172000,-0.122372
-2.156000,-0.122666
-2.140000,-0.122081
-2.124000,-0.122186
-2.108000,-0.121843
-2.092000,-0.121729
-2.076000,-0.121675
-2.060000,-0.121318
-2.044000,-0.121546
-2.028000,-0.121048
-2.012000,-0.121549
-1.996000,-0.121200
-1.980000,-0.122142
-1.964000,-0.122216
-1.948000,-0.123227
-1.932000,-0.123300
-1.916000,-0.123723
-1.900000,-0.123681
-1.884000,-0.123730
-1.868000,-0.124114
-1.852000,-0.124019
-1.836000,-0.124625
-1.820000,-0.124373
-1.804000,-0.125193
-1.788000,-0.125008
-1.772000,-0.125804
