xloc,vavg
-7.000000,0.000000
-6.859000,0.000000
-6.717000,0.000000
-6.576000,0.000000
-6.434000,0.000000
-6.293000,0.000000
-6.152000,0.000000
-6.010000,-0.000025
-5.869000,-0.000303
-5.727000,-0.000427
-5.586000,-0.000657
-5.444000,-0.001365
-5.303000,-0.002273
-5.162000,-0.003223
-5.020000,-0.004277
-4.879000,-0.005799
-4.737000,-0.006835
-4.596000,-0.006996
-4.455000,-0.007728
-4.313000,-0.008890
-4.172000,-0.009885
-4.030000,-0.010030
-3.889000,-0.010707
-3.747000,-0.011553
-3.606000,-0.013957
-3.465000,-0.035362
-3.323000,-0.045092
-3.182000,-0.045903
-3.040000,-0.058180
-2.899000,-0.065105
-2.758000,-0.077408
-2.616000,-0.087478
-2.475000,-0.106615
-2.333000,-0.109151
-2.192000,-0.114424
-2.051000,-0.130610
-1.909000,-0.131590
-1.768000,-0.131039
-1.626000,-0.132752
-1.485000,-0.135848
-1.343000,-0.136986
-1.202000,-0.137645
-1.061000,-0.138618
-0.919000,-0.142384
-0.778000,-0.124064
-0.636000,-0.119349
-0.495000,-0.117005
-0.354000,-0.113127
-0.212000,-0.018663
-0.071000,1.458276
0.071000,1.453289
0.212000,-0.042577
0.354000,-0.063995
0.495000,-0.062545
0.636000,-0.071523
0.778000,-0.079581
0.919000,-0.081964
1.061000,-0.082717
1.202000,-0.084174
1.343000,-0.084527
1.485000,-0.084146
1.626000,-0.083080
1.768000,-0.081889
1.909000,-0.080992
2.051000,-0.079898
2.192000,-0.078877
2.333000,-0.077805
2.475000,-0.065328
2.616000,-0.055463
2.758000,-0.051813
2.899000,-0.046802
3.040000,-0.046545
3.182000,-0.047679
3.323000,-0.048383
3.465000,-0.048457
3.606000,-0.048936
3.747000,-0.034074
3.889000,-0.034007
4.030000,-0.033383
4.172000,-0.017203
4.313000,-0.002535
4.455000,0.000586
4.596000,0.002246
4.737000,0.003287
4.879000,0.003537
5.020000,0.003350
5.162000,0.002715
5.303000,0.002048
5.444000,0.001535
5.586000,0.000879
5.727000,0.000829
5.869000,0.000191
6.010000,0.000053
6.152000,0.000000
6.293000,0.000000
6.434000,0.000000
6.576000,0.000000
6.717000,0.000000
6.859000,0.000000
