xloc,vavg
-7.000000,0.000000
-6.859000,0.000000
-6.717000,0.000000
-6.576000,0.000000
-6.434000,0.000000
-6.293000,0.000000
-6.152000,0.000000
-6.010000,-0.000008
-5.869000,0.000346
-5.727000,0.000596
-5.586000,0.000133
-5.444000,0.000137
-5.303000,-0.000676
-5.162000,-0.001244
-5.020000,-0.001631
-4.879000,-0.001823
-4.737000,-0.001465
-4.596000,-0.000707
-4.455000,-0.000097
-4.313000,-0.000028
-4.172000,-0.000817
-4.030000,-0.002254
-3.889000,-0.003805
-3.747000,-0.005962
-3.606000,-0.008799
-3.465000,-0.012246
-3.323000,-0.018051
-3.182000,-0.026902
-3.040000,-0.030152
-2.899000,-0.037434
-2.758000,-0.046760
-2.616000,-0.045760
-2.475000,-0.043721
-2.333000,-0.047476
-2.192000,-0.045854
-2.051000,-0.046684
-1.909000,-0.047549
-1.768000,-0.048147
-1.626000,-0.048613
-1.485000,-0.047409
-1.343000,-0.045867
-1.202000,-0.045549
-1.061000,-0.047335
-0.919000,-0.056505
-0.778000,-0.070017
-0.636000,-0.070600
-0.495000,-0.070796
-0.354000,-0.069135
-0.212000,-0.012411
-0.071000,0.714905
0.071000,1.196435
0.212000,0.002152
0.354000,-0.128768
0.495000,-0.155027
0.636000,-0.146402
0.778000,-0.134756
0.919000,-0.128899
1.061000,-0.131389
1.202000,-0.133773
1.343000,-0.134637
1.485000,-0.135187
1.626000,-0.128942
1.768000,-0.121307
1.909000,-0.119521
2.051000,-0.115930
2.192000,-0.109995
2.333000,-0.090467
2.475000,-0.052935
2.616000,-0.044673
2.758000,-0.012878
2.899000,-0.010722
3.040000,-0.005768
3.182000,0.002444
3.323000,0.004179
3.465000,0.004549
3.606000,0.004688
3.747000,0.004742
3.889000,0.004638
4.030000,0.004328
4.172000,0.003781
4.313000,0.003323
4.455000,0.003054
4.596000,0.002872
4.737000,0.002775
4.879000,0.002699
5.020000,0.002723
5.162000,0.002902
5.303000,0.002653
5.444000,0.002248
5.586000,0.001781
5.727000,0.001164
5.869000,0.000533
6.010000,0.000203
6.152000,0.000000
6.293000,0.000000
6.434000,0.000000
6.576000,0.000000
6.717000,0.000000
6.859000,0.000000
