xloc,zvavg
-7.66913795,0.00000000
-7.63827610,0.01479948
-7.60741425,0.01754197
-7.57655239,0.01788462
-7.54569054,0.01812564
-7.51482868,0.01828836
-7.48396683,0.01839045
-7.45310497,0.01843914
-7.42224312,0.01845106
-7.39138126,0.01843299
-7.36051941,0.01839087
-7.32965755,0.01832805
-7.29879570,0.01824819
-7.26793385,0.01815532
-7.23707199,0.01805254
-7.20621014,0.01794083
-7.17534828,0.01782027
-7.14448643,0.01769314
-7.11362457,0.01756009
-7.08276272,0.01742203
-7.05190086,0.01727934
-7.02103901,0.01713326
-6.99017715,0.01698456
-6.95931530,0.01683332
-6.92845345,0.01667998
-6.89759159,0.01652458
-6.86672974,0.01636753
-6.83586788,0.01620938
-6.80500603,0.01605005
-6.77414417,0.01588975
-6.74328232,0.01572886
-6.71242046,0.01556789
-6.68155861,0.01540643
-6.65069675,0.01524445
-6.61983490,0.01508207
-6.58897305,0.01491946
-6.55811119,0.01475654
-6.52724934,0.01459336
-6.49638748,0.01442994
-6.46552563,0.01426621
-6.43466377,0.01410268
-6.40380192,0.01393925
-6.37294006,0.01377570
-6.34207821,0.01361217
-6.31121635,0.01344872
-6.28035450,0.01328557
-6.24949265,0.01312235
-6.21863079,0.01295923
-6.18776894,0.01279657
-6.15690708,0.01263450
-6.12604523,0.01247281
-6.09518337,0.01231144
-6.06432152,0.01215063
-6.03345966,0.01199015
-6.00259781,0.01182725
-5.97173595,0.01166912
-5.94087410,0.01150033
-5.91001225,0.01134768
-5.87915039,0.01118859
-5.84828854,0.01102828
-5.81742668,0.01086740
-5.78656483,0.01070659
-5.75570297,0.01054602
-5.72484112,0.01038559
-5.69397926,0.01022520
-5.66311741,0.01006497
-5.63225555,0.00990462
-5.60139370,0.00974422
-5.57053185,0.00958369
-5.53966999,0.00942310
-5.50880814,0.00926230
-5.47794628,0.00910119
-5.44708443,0.00893994
-5.41622257,0.00877834
-5.38536072,0.00861655
-5.35449886,0.00845418
-5.32363701,0.00829164
-5.29277515,0.00812875
-5.26191330,0.00796556
-5.23105145,0.00780185
-5.20018959,0.00763744
-5.16932774,0.00747238
-5.13846588,0.00730681
-5.10760403,0.00714072
-5.07674217,0.00697357
-5.04588032,0.00680604
-5.01501846,0.00663742
-4.98415661,0.00646790
-4.95329475,0.00629754
-4.92243290,0.00612589
-4.89157104,0.00595295
-4.86070919,0.00577859
-4.82984734,0.00560265
-4.79898548,0.00542543
-4.76812363,0.00524674
-4.73726177,0.00506645
-4.70639992,0.00488448
-4.67553806,0.00470072
-4.64467621,0.00451511
-4.61381435,0.00432784
-4.58295250,0.00413842
-4.55209064,0.00394686
-4.52122879,0.00375314
-4.49036694,0.00355721
-4.45950508,0.00335883
-4.42864323,0.00315791
-4.39778137,0.00295426
-4.36691952,0.00274785
-4.33605766,0.00253852
-4.30519581,0.00232591
-4.27433395,0.00210994
-4.24347210,0.00189073
-4.21261024,0.00166835
-4.18174839,0.00144212
-4.15088654,0.00121190
-4.12002468,0.00097793
-4.08916283,0.00073997
-4.05830097,0.00049764
-4.02743912,0.00025085
-3.99657750,-0.00000035
