xloc,vavg
-7.000000,0.000000
-6.859000,0.000000
-6.717000,0.000000
-6.576000,0.000000
-6.434000,0.000000
-6.293000,0.000000
-6.152000,0.000004
-6.010000,0.000055
-5.869000,0.000191
-5.727000,0.000581
-5.586000,0.001597
-5.444000,0.001915
-5.303000,0.001500
-5.162000,0.001650
-5.020000,0.001880
-4.879000,0.002005
-4.737000,0.002149
-4.596000,0.002337
-4.455000,0.002234
-4.313000,0.001737
-4.172000,0.001577
-4.030000,0.002206
-3.889000,0.003312
-3.747000,0.004155
-3.606000,0.004234
-3.465000,0.004043
-3.323000,0.004918
-3.182000,0.006231
-3.040000,0.006823
-2.899000,0.007130
-2.758000,0.006984
-2.616000,0.006096
-2.475000,0.004849
-2.333000,0.002309
-2.192000,-0.001695
-2.051000,-0.003341
-1.909000,-0.002600
-1.768000,-0.002050
-1.626000,-0.002245
-1.485000,-0.002824
-1.343000,-0.003163
-1.202000,-0.001676
-1.061000,0.001338
-0.919000,-0.009246
-0.778000,-0.014837
-0.636000,-0.019862
-0.495000,-0.028869
-0.354000,-0.018288
-0.212000,-0.002141
-0.071000,-0.000000
0.071000,-0.000641
0.212000,-0.019422
0.354000,-0.058731
0.495000,-0.066790
0.636000,-0.064699
0.778000,-0.062597
0.919000,-0.064196
1.061000,-0.064194
1.202000,-0.063101
1.343000,-0.060690
1.485000,-0.054110
1.626000,-0.043874
1.768000,-0.033974
1.909000,-0.025965
2.051000,-0.018163
2.192000,-0.010396
2.333000,-0.005220
2.475000,-0.003493
2.616000,-0.003624
2.758000,-0.004040
2.899000,-0.004289
3.040000,-0.004362
3.182000,-0.004327
3.323000,-0.004315
3.465000,-0.004557
3.606000,-0.005200
3.747000,-0.005893
3.889000,-0.005634
4.030000,-0.004117
4.172000,-0.002551
4.313000,-0.002197
4.455000,-0.003114
4.596000,-0.004068
4.737000,-0.003337
4.879000,-0.001273
5.020000,0.000208
5.162000,0.000748
5.303000,0.000942
5.444000,0.001321
5.586000,0.001002
5.727000,0.000100
5.869000,-0.000164
6.010000,-0.000074
6.152000,-0.000011
6.293000,-0.000000
6.434000,0.000000
6.576000,0.000000
6.717000,0.000000
6.859000,0.000000
