TimeStep[s];Np;Nbound;Nfixed;Nmoving;Nfloat;Nfluid
199.5;25289;5987;5240;747;0;19302

Pos.x[m];Pos.y[m];Pos.z[m];Idp;Vel.x[m/s];Vel.y[m/s];Vel.z[m/s];Rhop[kg/m^3];Type;
-2.4000000E-02;-2.4000000E-02;-1.5899999E-01;2118;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0035885E+03;0;
-2.4000000E-02;-2.4000000E-02;-1.5200000E-01;2119;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0030419E+03;0;
-1.7000001E-02;-3.0999999E-02;-1.5899999E-01;2265;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0035298E+03;0;
-1.7000001E-02;-3.0999999E-02;-1.5200000E-01;2266;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0047451E+03;0;
-1.7000001E-02;-2.4000000E-02;-1.5899999E-01;2270;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0045819E+03;0;
-1.7000001E-02;-2.4000000E-02;-1.5200000E-01;2271;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0036790E+03;0;
-9.9999998E-03;-3.0999999E-02;-1.5200000E-01;2414;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0066285E+03;0;
-9.9999998E-03;-2.4000000E-02;-1.5899999E-01;2417;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0059460E+03;0;
-3.0000000E-03;-3.0999999E-02;-1.5200000E-01;2548;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0071510E+03;0;
-3.0000000E-03;-2.4000000E-02;-1.5899999E-01;2551;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0072026E+03;0;
4.0000002E-03;-3.7999999E-02;-1.5200000E-01;2670;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0028549E+03;0;
4.0000002E-03;-3.0999999E-02;-1.5200000E-01;2673;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0065833E+03;0;
4.0000002E-03;-2.4000000E-02;-1.5899999E-01;2676;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0072626E+03;0;
1.1000000E-02;-3.0999999E-02;-1.5200000E-01;2801;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0063954E+03;0;
1.1000000E-02;-2.4000000E-02;-1.5899999E-01;2804;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0058911E+03;0;
1.7999999E-02;-3.0999999E-02;-1.5899999E-01;2950;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0037035E+03;0;
1.7999999E-02;-3.0999999E-02;-1.5200000E-01;2951;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0044510E+03;0;
1.7999999E-02;-2.4000000E-02;-1.5899999E-01;2955;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0049334E+03;0;
1.7999999E-02;-2.4000000E-02;-1.5200000E-01;2956;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0040135E+03;0;
2.5000000E-02;-2.4000000E-02;-1.5899999E-01;3108;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0031371E+03;0;
2.5000000E-02;-2.4000000E-02;-1.5200000E-01;3109;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0035663E+03;0;
-3.7999999E-02;4.0000002E-03;-1.5200000E-01;1791;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0037993E+03;0;
-3.0999999E-02;-1.7000001E-02;-1.5899999E-01;1954;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0035721E+03;0;
-3.0999999E-02;-1.7000001E-02;-1.5200000E-01;1955;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0043312E+03;0;
-3.0999999E-02;-9.9999998E-03;-1.5200000E-01;1959;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0073450E+03;0;
-3.0999999E-02;-3.0000000E-03;-1.5200000E-01;1962;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0067607E+03;0;
-3.0999999E-02;4.0000002E-03;-1.5200000E-01;1965;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0064588E+03;0;
-2.4000000E-02;-1.7000001E-02;-1.5899999E-01;2123;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0050447E+03;0;
-2.4000000E-02;-1.7000001E-02;-1.5200000E-01;2124;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0037262E+03;0;
-2.4000000E-02;-9.9999998E-03;-1.5899999E-01;2128;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0054272E+03;0;
-2.4000000E-02;-3.0000000E-03;-1.5899999E-01;2130;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0072275E+03;0;
-2.4000000E-02;4.0000002E-03;-1.5899999E-01;2132;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0073661E+03;0;
-1.7000001E-02;-1.7000001E-02;-1.5899999E-01;2275;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0031302E+03;0;
-1.7000001E-02;-9.9999998E-03;-1.6599999E-01;2277;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0053691E+03;0;
-1.7000001E-02;-9.9999998E-03;-1.5899999E-01;2278;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0042464E+03;0;
-1.7000001E-02;-3.0000000E-03;-1.6599999E-01;2279;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0066133E+03;0;
-1.7000001E-02;4.0000002E-03;-1.6599999E-01;2280;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0067438E+03;0;
-9.9999998E-03;-1.7000001E-02;-1.6599999E-01;2419;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0064669E+03;0;
-9.9999998E-03;-1.7000001E-02;-1.5899999E-01;2420;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0030198E+03;0;
-9.9999998E-03;-9.9999998E-03;-1.7299999E-01;2421;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0029086E+03;0;
-9.9999998E-03;-9.9999998E-03;-1.6599999E-01;2422;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0039272E+03;0;
-9.9999998E-03;-3.0000000E-03;-1.7299999E-01;2423;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0024756E+03;0;
-9.9999998E-03;-3.0000000E-03;-1.6599999E-01;2424;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0031699E+03;0;
-9.9999998E-03;4.0000002E-03;-1.7299999E-01;2425;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0040446E+03;0;
-9.9999998E-03;4.0000002E-03;-1.6599999E-01;2426;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0036033E+03;0;
-3.0000000E-03;-1.7000001E-02;-1.6599999E-01;2553;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0071642E+03;0;
-3.0000000E-03;-9.9999998E-03;-1.7299999E-01;2554;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0037064E+03;0;
-3.0000000E-03;-9.9999998E-03;-1.6599999E-01;2555;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0035121E+03;0;
-3.0000000E-03;-3.0000000E-03;-1.7299999E-01;2556;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0045117E+03;0;
-3.0000000E-03;4.0000002E-03;-1.7299999E-01;2557;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0053777E+03;0;
-3.0000000E-03;4.0000002E-03;-1.6599999E-01;2558;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0027032E+03;0;
4.0000002E-03;-1.7000001E-02;-1.6599999E-01;2678;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0057637E+03;0;
4.0000002E-03;-9.9999998E-03;-1.7299999E-01;2679;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0041821E+03;0;
4.0000002E-03;-9.9999998E-03;-1.6599999E-01;2680;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0032168E+03;0;
4.0000002E-03;-3.0000000E-03;-1.7299999E-01;2681;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0052392E+03;0;
4.0000002E-03;-3.0000000E-03;-1.6599999E-01;2682;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0026349E+03;0;
4.0000002E-03;4.0000002E-03;-1.7299999E-01;2683;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0049516E+03;0;
4.0000002E-03;4.0000002E-03;-1.6599999E-01;2684;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0022294E+03;0;
1.1000000E-02;-1.7000001E-02;-1.6599999E-01;2806;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0057010E+03;0;
1.1000000E-02;-1.7000001E-02;-1.5899999E-01;2807;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0038986E+03;0;
1.1000000E-02;-9.9999998E-03;-1.6599999E-01;2809;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0054872E+03;0;
1.1000000E-02;-3.0000000E-03;-1.7299999E-01;2810;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0026823E+03;0;
1.1000000E-02;-3.0000000E-03;-1.6599999E-01;2811;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0022279E+03;0;
1.1000000E-02;4.0000002E-03;-1.7299999E-01;2812;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0032336E+03;0;
1.1000000E-02;4.0000002E-03;-1.6599999E-01;2813;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0025428E+03;0;
1.7999999E-02;-1.7000001E-02;-1.5899999E-01;2960;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0028918E+03;0;
1.7999999E-02;-9.9999998E-03;-1.6599999E-01;2962;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0058185E+03;0;
1.7999999E-02;-9.9999998E-03;-1.5899999E-01;2963;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0034922E+03;0;
1.7999999E-02;-3.0000000E-03;-1.7299999E-01;2965;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0027772E+03;0;
1.7999999E-02;-3.0000000E-03;-1.6599999E-01;2966;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0061158E+03;0;
1.7999999E-02;4.0000002E-03;-1.7299999E-01;2967;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0030388E+03;0;
1.7999999E-02;4.0000002E-03;-1.6599999E-01;2968;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0060376E+03;0;
2.5000000E-02;-1.7000001E-02;-1.5899999E-01;3113;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0040015E+03;0;
2.5000000E-02;-1.7000001E-02;-1.5200000E-01;3114;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0035879E+03;0;
2.5000000E-02;-9.9999998E-03;-1.5899999E-01;3118;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0053411E+03;0;
2.5000000E-02;-9.9999998E-03;-1.5200000E-01;3119;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0031514E+03;0;
2.5000000E-02;-3.0000000E-03;-1.5899999E-01;3121;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0076818E+03;0;
2.5000000E-02;4.0000002E-03;-1.5899999E-01;3123;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0076522E+03;0;
3.2000002E-02;-1.7000001E-02;-1.5200000E-01;3276;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0054545E+03;0;
3.2000002E-02;-9.9999998E-03;-1.5200000E-01;3280;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0048389E+03;0;
3.2000002E-02;-3.0000000E-03;-1.5200000E-01;3283;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0067542E+03;0;
3.2000002E-02;4.0000002E-03;-1.5200000E-01;3286;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0072297E+03;0;
3.9000001E-02;-9.9999998E-03;-1.5200000E-01;3446;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0026495E+03;0;
-3.0999999E-02;1.1000000E-02;-1.5200000E-01;1968;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0063576E+03;0;
-3.0999999E-02;1.7999999E-02;-1.5899999E-01;1971;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0036636E+03;0;
-3.0999999E-02;1.7999999E-02;-1.5200000E-01;1972;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0047695E+03;0;
-2.4000000E-02;1.1000000E-02;-1.5899999E-01;2134;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0063542E+03;0;
-2.4000000E-02;1.7999999E-02;-1.5899999E-01;2136;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0046843E+03;0;
-2.4000000E-02;1.7999999E-02;-1.5200000E-01;2137;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0035870E+03;0;
-2.4000000E-02;2.5000000E-02;-1.5899999E-01;2140;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0031306E+03;0;
-2.4000000E-02;2.5000000E-02;-1.5200000E-01;2141;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0040632E+03;0;
-1.7000001E-02;1.1000000E-02;-1.6599999E-01;2281;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0053629E+03;0;
