TimeStep[s];Np;Nbound;Nfixed;Nmoving;Nfloat;Nfluid
200;25289;5987;5240;747;0;19302

Pos.x[m];Pos.y[m];Pos.z[m];Idp;Vel.x[m/s];Vel.y[m/s];Vel.z[m/s];Rhop[kg/m^3];Type;
-2.4000000E-02;-2.4000000E-02;-1.5899999E-01;2118;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0035860E+03;0;
-2.4000000E-02;-2.4000000E-02;-1.5200000E-01;2119;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0031223E+03;0;
-1.7000001E-02;-3.0999999E-02;-1.5899999E-01;2265;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0034224E+03;0;
-1.7000001E-02;-3.0999999E-02;-1.5200000E-01;2266;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0047119E+03;0;
-1.7000001E-02;-2.4000000E-02;-1.5899999E-01;2270;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0045008E+03;0;
-1.7000001E-02;-2.4000000E-02;-1.5200000E-01;2271;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0036667E+03;0;
-9.9999998E-03;-3.0999999E-02;-1.5200000E-01;2414;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0066956E+03;0;
-9.9999998E-03;-2.4000000E-02;-1.5899999E-01;2417;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0060469E+03;0;
-3.0000000E-03;-3.0999999E-02;-1.5200000E-01;2548;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0071272E+03;0;
-3.0000000E-03;-2.4000000E-02;-1.5899999E-01;2551;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0071562E+03;0;
4.0000002E-03;-3.7999999E-02;-1.5200000E-01;2670;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0027595E+03;0;
4.0000002E-03;-3.0999999E-02;-1.5200000E-01;2673;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0066107E+03;0;
4.0000002E-03;-2.4000000E-02;-1.5899999E-01;2676;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0072415E+03;0;
1.1000000E-02;-3.0999999E-02;-1.5200000E-01;2801;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0063831E+03;0;
1.1000000E-02;-2.4000000E-02;-1.5899999E-01;2804;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0059418E+03;0;
1.7999999E-02;-3.0999999E-02;-1.5899999E-01;2950;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0036785E+03;0;
1.7999999E-02;-3.0999999E-02;-1.5200000E-01;2951;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0045034E+03;0;
1.7999999E-02;-2.4000000E-02;-1.5899999E-01;2955;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0048019E+03;0;
1.7999999E-02;-2.4000000E-02;-1.5200000E-01;2956;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0040923E+03;0;
2.5000000E-02;-2.4000000E-02;-1.5899999E-01;3108;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0030822E+03;0;
2.5000000E-02;-2.4000000E-02;-1.5200000E-01;3109;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0035946E+03;0;
-3.7999999E-02;4.0000002E-03;-1.5200000E-01;1791;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0037760E+03;0;
-3.0999999E-02;-1.7000001E-02;-1.5899999E-01;1954;0.0000000E+00;0.0000000E+00;0.0000000E+00;1.0034637E+03;0;
