time [s];velx [m/s];vely [m/s];velz [m/s];posx [m];posy [m];posz [m]
0.000000;0;0;0;1.909;0;6
0.500011;-0.015739;0;-0.0390007;1.909;0;6
1.000023;0.0100671;0;-0.0457219;1.909;0;6
1.500034;0.0137231;0;-0.00735562;1.909;0;6
2.000003;0.0205082;0;-0.0136178;1.909;0;6
2.500030;-0.0169582;0;-0.0154284;1.909;0;6
3.000009;-0.00628914;0;0.014392;1.909;0;6
3.500013;-0.0044195;0;-0.0576592;1.909;0;6
4.000015;-0.016241;0;-0.0754251;1.909;0;6
4.500008;-0.00898475;0;-0.0646189;1.909;0;6
5.000038;0.00483862;0;-0.0641513;1.909;0;6
5.500038;0.00720096;0;-0.079769;1.909;0;6
6.000010;-0.00321554;0;-0.058721;1.909;0;6
6.500012;0.0156548;0;-0.0578269;1.909;0;6
7.000030;-0.0136231;0;-0.0993166;1.909;0;6
7.500012;-0.0293806;0;-0.0671368;1.909;0;6
8.000030;-0.00477503;0;-0.0614485;1.909;0;6
8.500022;-0.0048198;0;-0.0557406;1.909;0;6
9.000002;-0.0277789;0;-0.0802511;1.909;0;6
9.500027;0.00121387;0;-0.0491633;1.909;0;6
10.000030;0.00077829;0;-0.105278;1.909;0;6
10.500011;0.0150419;0;-0.0645258;1.909;0;6
11.000020;0.0241816;0;-0.0980593;1.909;0;6
11.500044;0.00461151;0;-0.119315;1.909;0;6
12.000031;-0.00814111;0;-0.109941;1.909;0;6
12.500009;-0.0184071;0;-0.0862583;1.909;0;6
13.000046;-0.0190711;0;-0.0791807;1.909;0;6
13.500005;-0.0123296;0;-0.0764911;1.909;0;6
14.000047;0.00796532;0;-0.0557998;1.909;0;6
14.500016;0.00139987;0;-0.0740263;1.909;0;6
15.000038;-0.0298024;0;-0.102161;1.909;0;6
15.500026;0.00914946;0;-0.0672441;1.909;0;6
16.000025;-0.0146756;0;-0.0729641;1.909;0;6
16.500027;-0.00202078;0;-0.0892969;1.909;0;6
17.000031;-0.00906287;0;-0.055483;1.909;0;6
17.500028;-0.0905494;0;-0.069224;1.909;0;6
18.000025;-0.000379038;0;-0.069484;1.909;0;6
18.500042;0.0316997;0;-0.111496;1.909;0;6
19.000038;-0.0459881;0;-0.0985974;1.909;0;6
19.500022;-0.00376409;0;-0.0595872;1.909;0;6
20.000044;0.00302212;0;-0.0600722;1.909;0;6
20.500043;0.0134691;0;-0.0668709;1.909;0;6
21.000020;-0.0270879;0;-0.0659474;1.909;0;6
21.500016;0.010565;0;-0.100296;1.909;0;6
22.000031;0.00686665;0;-0.0909845;1.909;0;6
22.500038;0.0196001;0;-0.025482;1.909;0;6
23.000010;0.00619421;0;-0.0999499;1.909;0;6
23.500005;-0.0277669;0;-0.100226;1.909;0;6
24.000029;0.024422;0;-0.0612318;1.909;0;6
24.500039;0.0207155;0;-0.0776091;1.909;0;6
25.000012;-0.0100832;0;-0.0463832;1.909;0;6
25.500034;0.0353811;0;-0.0545464;1.909;0;6
26.000044;0.0158669;0;-0.0767726;1.909;0;6
26.500035;0.0130403;0;-0.0552666;1.909;0;6
27.000045;-0.00961763;0;-0.040721;1.909;0;6
27.500028;-0.00258526;0;-0.0609448;1.909;0;6
28.000007;0.000364523;0;-0.0295141;1.909;0;6
28.500010;-0.012942;0;-0.0445384;1.909;0;6
29.000011;-0.0103052;0;-0.0836995;1.909;0;6
29.500010;-0.0128886;0;-0.0536034;1.909;0;6
